Accession	Domain	Start	Stop
NZ_CP015401.2_2878	Domain1	20	40
NC_015164.1_1170	Domain1	20	40
NC_007973.1_2369	Domain1	20	40
NC_008782.1_1308	Domain1	20	40
NC_011770.1_2794	Domain1	20	40
NC_017958.1_59	Domain1	20	40
NC_018080.1_2433	Domain1	20	40
NC_021285.1_991	Domain1	20	40
NC_023066.1_2736	Domain1	20	40
NC_023149.1_2347	Domain1	20	40
NZ_AP014839.1_2353	Domain1	20	40
NZ_AP018560.1_543	Domain1	20	40
NZ_CM001020.1_2941	Domain1	20	40
NZ_CP006980.1_2725	Domain1	20	40
NZ_CP006981.1_2657	Domain1	20	40
NZ_CP006982.1_2801	Domain1	20	40
NZ_CP006984.1_2722	Domain1	20	40
NZ_CP006985.1_2710	Domain1	20	40
NZ_CP008857.1_419	Domain1	20	40
NZ_CP008864.2_3170	Domain1	20	40
NZ_CP008871.2_2594	Domain1	20	40
NZ_CP010555.1_1306	Domain1	20	40
NZ_CP011317.1_2755	Domain1	20	40
NZ_CP011857.1_2612	Domain1	20	40
NZ_CP011917.1_3124	Domain1	20	40
NZ_CP013113.1_2576	Domain1	20	40
NZ_CP015036.1_4350	Domain1	20	40
NZ_CP015117.1_5993	Domain1	20	40
NZ_CP015377.1_4426	Domain1	20	40
NZ_CP016955.1_4381	Domain1	20	40
NZ_CP017311.1_3961	Domain1	20	40
NZ_CP017353.1_5034	Domain1	20	40
NZ_CP019666.1_2066	Domain1	20	40
NZ_CP019678.1_1130	Domain1	20	40
NZ_CP021111.1_3716	Domain1	20	40
NZ_CP021648.1_3373	Domain1	20	40
NZ_CP022001.1_4297	Domain1	20	40
NZ_CP022001.1_5076	Domain1	20	40
NZ_CP022188.1_320	Domain1	20	40
NZ_CP022562.1_1555	Domain1	20	40
NZ_CP023255.1_340	Domain1	20	40
NZ_CP023316.1_2777	Domain1	20	40
NZ_CP025030.1_150	Domain1	20	40
NZ_CP025049.1_2273	Domain1	20	40
NZ_CP025050.1_2310	Domain1	20	40
NZ_CP025055.1_2704	Domain1	20	40
NZ_CP025056.1_2704	Domain1	20	40
NZ_CP025229.1_2512	Domain1	20	40
NZ_CP026122.1_1832	Domain1	20	40
NZ_CP026544.1_4897	Domain1	20	40
NZ_CP028162.1_2373	Domain1	20	40
NZ_CP028917.1_4077	Domain1	20	40
NZ_CP029088.1_2841	Domain1	20	40
NZ_CP029097.1_4119	Domain1	20	40
NZ_CP029605.1_2681	Domain1	20	40
NZ_CP030327.1_5586	Domain1	20	40
NZ_CP030328.1_3819	Domain1	20	40
NZ_CP030861.1_35	Domain1	20	40
NZ_CP030912.1_2774	Domain1	20	40
NZ_CP033730.1_1172	Domain1	20	40
NZ_CP033771.1_327	Domain1	20	40
NZ_CP033832.1_4100	Domain1	20	40
NZ_CP033833.1_5793	Domain1	20	40
NZ_CP039293.1_2658	Domain1	20	40
NZ_LR130528.1_4254	Domain1	20	40
NZ_LR134300.1_1156	Domain1	20	40
NZ_LR134302.1_3399	Domain1	20	40
NZ_LR134309.1_2607	Domain1	20	40
NZ_LR590474.1_2673	Domain1	20	40
NZ_LS483395.1_1109	Domain1	20	40
NZ_LS998783.1_2910	Domain1	20	40
NZ_LT629801.1_2956	Domain1	20	40
NZ_LT883143.1_2296	Domain1	20	40
NZ_LN831029.1_1118	Domain1	20	40
NZ_CP011369.1_2816	Domain1	20	40
NC_020541.1_3861	Domain1	20	40
NZ_CP008865.2_2372	Domain1	20	40
NZ_CP008866.2_2516	Domain1	20	40
NZ_CP008873.1_5212	Domain1	20	40
NZ_CP008870.2_3246	Domain1	20	40
NZ_CP033684.1_2848	Domain1	20	40
NZ_CP033104.1_4248	Domain1	20	40
NC_008825.1_2404	Domain1	20	40
NZ_CP023440.1_130	Domain1	20	40
NC_015321.1_2953	Domain1	20	40
NZ_LR130533.1_5484	Domain1	20	40
NZ_LR130534.1_2322	Domain1	20	40
NZ_LT960614.1_1731	Domain1	20	40
NZ_CP027562.1_2142	Domain1	20	40
NZ_CP026372.1_1396	Domain1	20	40
NZ_LR536450.1_2890	Domain1	20	40
NC_008435.1_2555	Domain1	20	40
NZ_CP008804.1_1311	Domain1	20	40
NZ_CP020400.2_1040	Domain1	20	40
NZ_CP027405.1_1470	Domain1	20	40
NZ_LS483445.1_520	Domain1	20	40
NZ_CP020822.1_1816	Domain1	20	40
NC_015460.1_1051	Domain1	20	40
NC_021734.1_17	Domain1	20	40
NZ_CP028560.1_161	Domain1	20	40
NZ_CP032133.1_54	Domain1	20	40
NZ_CP027677.1_3563	Domain1	20	40
NZ_CP027678.1_24	Domain1	20	40
NZ_CP024677.1_3359	Domain1	20	40
